Koordinatat e Katit 11 të ekzekutuar,,,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi,,
2,7511951.556,4692298.503,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
3,7511954.170,4692295.213,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
4,7511953.899,4692294.977,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
5,7511955.709,4692292.724,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
6,7511957.020,4692293.758,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
7,7511963.337,4692285.900,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
8,7511968.929,4692290.393,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
9,7511967.502,4692292.125,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
10,7511970.845,4692294.837,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
11,7511970.302,4692295.527,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
12,7511975.250,4692299.453,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
13,7511969.565,4692306.554,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
14,7511969.881,4692306.814,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
15,7511967.627,4692309.621,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
16,7511966.364,4692308.645,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
17,7511965.493,4692309.722,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
18,7511942.252,4692295.105,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
19,7511942.522,4692295.289,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
20,7511943.287,4692294.395,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
21,7511946.276,4692296.752,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
22,7511945.515,4692297.693,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
23,7511949.569,4692300.881,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
24,7511951.454,4692298.636,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
25,7511965.385,4692309.841,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
26,7511964.607,4692310.767,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
27,7511975.253,4692319.293,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
28,7511964.855,4692332.343,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
29,7511932.210,4692306.080,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
30,7511939.134,4692297.437,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
31,7511939.861,4692298.011,651.158,Kati 11,Shtëpi-Ndërtesë,PM,,
,,,,,,,,
