1,7511939.237,4692306.801,616.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2,7511939.059,4692306.655,616.375,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
3,7511938.709,4692306.185,616.377,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,7511938.266,4692305.672,616.393,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
5,7511935.352,4692303.804,616.575,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
6,7511929.972,4692302.211,616.35,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
7,7511928.746,4692301.245,616.321,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
8,7511928.354,4692300.932,616.54,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
9,7511927.495,4692298.723,616.47,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
10,7511932.24,4692298.467,616.995,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7511934.896,4692297.505,616.476,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7511935.202,4692295.327,616.489,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7511932.166,4692306.075,615.882,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7511958.933,4692327.593,616.477,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7511970.797,4692314.132,614.733,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7511977.219,4692297.023,617.103,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7511979.761,4692295.089,616.402,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7511977.46,4692291.003,616.351,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7511982.839,4692300.416,617.027,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7511982.217,4692304.568,617.133,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7511978.161,4692307.169,617.134,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7511976.667,4692307.14,617.166,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7511974.677,4692308.689,617.253,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7511954.063,4692316.343,616.86,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7511954.018,4692312.738,616.72,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7511949.855,4692309.818,616.588,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7511945.138,4692297.566,616.617,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7511945.663,4692295.303,616.566,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7511943.111,4692292.303,616.53,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7511941.857,4692292.637,616.482,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7511938.533,4692293.651,616.541,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7511935.174,4692295.065,616.491,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7511935.406,4692298.052,616.443,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7511935.506,4692299.706,616.42,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7511937.242,4692302.237,616.483,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7511938.877,4692301.446,616.576,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7511940.918,4692299.393,616.566,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7511942.374,4692298.042,616.552,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7511988.871,4692301.854,616.953,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,7511990.062,4692301.096,616.895,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7511986.157,4692304.935,617.139,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7511985.297,4692308.607,617.24,Terren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
